ID,Family,SuperFamily,SubClass,Female,Male,Female_Ratio,Male_Ratio,Female_subject_coverage,Male_subject_coverage
TC1-2_DM#DNA/TcMar-Tc1,TC1-2_DM,TcMar-Tc1,DNA,30,24,0.02237136465324385,0.0029622315477659837,0.21062449310624498,0.18836171938361712
TC1_DM#DNA/TcMar-Tc1,TC1_DM,TcMar-Tc1,DNA,11,17,0.00820283370618941,0.0020982473463342383,0.2943904834661137,0.28550243626862515
TRANSIB2#DNA/CMC-Transib,TRANSIB2,CMC-Transib,DNA,1,178,0.0007457121551081282,0.02196988397926438,0.13009845288326302,0.293596611830149
TRANSIB3#DNA/CMC-Transib,TRANSIB3,CMC-Transib,DNA,38,14,0.028337061894108874,0.0017279684028634905,0.4799642185588841,0.6398097220157574
TRANSIB4#DNA/CMC-Transib,TRANSIB4,CMC-Transib,DNA,1,3,0.0007457121551081282,0.00037027894347074796,0.10651340996168582,0.3108556832694764
S2_DM#DNA/TcMar-Tc1,S2_DM,TcMar-Tc1,DNA,5,22,0.0037285607755406414,0.0027153789187854853,0.16853025936599425,0.19048991354466854
ACCORD2#LTR/Gypsy,ACCORD2,Gypsy,LTR,7,11,0.005219985085756898,0.0013576894593927426,0.12003215313866977,0.19580785610620735
ACCORD#LTR/Gypsy,ACCORD,Gypsy,LTR,5,7,0.0037285607755406414,0.0008639842014317452,0.06391139924365208,0.03073628154665432
Bica#LTR/Gypsy,Bica,Gypsy,LTR,13,24,0.009694258016405667,0.0029622315477659837,0.03939558287384374,0.6601139182660922
BLASTOPIA#LTR/Gypsy,BLASTOPIA,Gypsy,LTR,6,45,0.0044742729306487695,0.00555418415206122,0.17624064135692044,0.16228715298482746
BLOOD#LTR/Gypsy,BLOOD,Gypsy,LTR,50,17,0.037285607755406416,0.0020982473463342383,0.06864120901362841,0.0392659560113345
BURDOCK#LTR/Gypsy,BURDOCK,Gypsy,LTR,2,72,0.0014914243102162564,0.008886694643297952,0.4845553822152886,0.15896169180100536
Chimpo#LTR/Gypsy,Chimpo,Gypsy,LTR,3,19,0.0022371364653243847,0.002345099975314737,0.27095908786049633,0.16734324073093532
Chouto#LTR/Gypsy,Chouto,Gypsy,LTR,5,15,0.0037285607755406414,0.00185139471735374,0.025205006473888653,0.09955402100417207
Copia1#LTR/Copia,Copia1,Copia,LTR,2,33,0.0014914243102162564,0.0040730683781782274,0.09657836644591611,0.12985483978861467
Copia2#LTR/Copia,Copia2,Copia,LTR,2,20,0.0014914243102162564,0.0024685262898049864,0.2184071961386573,0.6142387011847302
Copia#LTR/Copia,Copia,Copia,LTR,131,245,0.0976882923191648,0.030239447050111085,0.7012781993931702,0.8044513198865564
DIVER2#LTR/Pao,DIVER2,Pao,LTR,1,34,0.0007457121551081282,0.004196494692668477,0.03965832824893228,0.37164579071408926
DM1731#LTR/Copia,DM1731,Copia,LTR,1,39,0.0007457121551081282,0.004813626265119724,0.03162650602409638,0.4424125071715434
DM176#LTR/Gypsy,DM176,Gypsy,LTR,4,97,0.002982848620432513,0.011972352505554184,0.10936238902340598,0.060057024149283426
DM297#LTR/Gypsy,DM297,Gypsy,LTR,7,42,0.005219985085756898,0.005183905208590471,0.09335239456754826,0.058228666734742494
TOM#LTR/Gypsy,TOM,Gypsy,LTR,252,137,0.18791946308724833,0.016909405085164156,0.04591771311332772,0.04979235198234356
GTWIN#LTR/Gypsy,GTWIN,Gypsy,LTR,3,2,0.0022371364653243847,0.00024685262898049864,0.07965636666216885,0.034408311968695184
Gypsy10#LTR/Gypsy,Gypsy10,Gypsy,LTR,2,691,0.0014914243102162564,0.08528758331276227,0.06043956043956043,0.1486844077292696
Gypsy11#LTR/Gypsy,Gypsy11,Gypsy,LTR,3,13,0.0022371364653243847,0.0016045420883732413,0.10320686540198735,0.1670835939128622
Gypsy12#LTR/Gypsy,Gypsy12,Gypsy,LTR,52,90,0.03877703206562267,0.01110836830412244,0.14476150684312752,0.15592744829386052
Gypsy1#LTR/Gypsy,Gypsy1,Gypsy,LTR,3,2,0.0022371364653243847,0.00024685262898049864,0.141853373989129,0.20933315656900436
Gypsy2_bis#LTR/Gypsy,Gypsy2_bis,Gypsy,LTR,5,10,0.0037285607755406414,0.0012342631449024932,0.10372752521561175,0.11184037421429616
Gypsy2#LTR/Gypsy,Gypsy2,Gypsy,LTR,1,13,0.0007457121551081282,0.0016045420883732413,0.06605733277939344,0.05009960265465044
Gypsy3#LTR/Gypsy,Gypsy3,Gypsy,LTR,1,0,0.0007457121551081282,0.0,0.0474688082604331,0.0
Gypsy5#LTR/Gypsy,Gypsy5,Gypsy,LTR,1,2,0.0007457121551081282,0.00024685262898049864,0.04546071380105849,0.07558691817071515
Gypsy6#LTR/Gypsy,Gypsy6,Gypsy,LTR,6,14,0.0044742729306487695,0.0017279684028634905,0.06827668455575432,0.08621445000182544
Gypsy7#LTR/Gypsy,Gypsy7,Gypsy,LTR,1,1,0.0007457121551081282,0.00012342631449024932,0.1997812613926358,0.04028436018957346
Gypsy8#LTR/Gypsy,Gypsy8,Gypsy,LTR,1,35,0.0007457121551081282,0.004319921007158726,0.28678102926337035,0.3535361107106818
Gypsy#LTR/Gypsy,Gypsy,Gypsy,LTR,1,26,0.0007457121551081282,0.0032090841767464825,0.1956900013385089,0.10435221317298683
IDEFIX#LTR/Gypsy,IDEFIX,Gypsy,LTR,3,195,0.0022371364653243847,0.024068131325598617,0.09707550860719875,0.05636661851450586
Invader1#LTR/Gypsy,Invader1,Gypsy,LTR,4,85,0.002982848620432513,0.010491236731671192,0.14205109126984128,0.5366129785247432
Invader4#LTR/Gypsy,Invader4,Gypsy,LTR,1,8,0.0007457121551081282,0.0009874105159219946,0.40547504025764897,0.30462962962962964
Invader5#LTR/Gypsy,Invader5,Gypsy,LTR,1,1,0.0007457121551081282,0.00012342631449024932,0.0950965824665676,0.0316988608221892
Invader6#LTR/Gypsy,Invader6,Gypsy,LTR,4,11,0.002982848620432513,0.0013576894593927426,0.14631525076765609,0.30382432306690244
MAX#LTR/Pao,MAX,Pao,LTR,14,78,0.010439970171513796,0.009627252530239447,0.2700110198357043,0.11853280349072778
MDG1#LTR/Gypsy,MDG1,Gypsy,LTR,4,11,0.002982848620432513,0.0013576894593927426,0.10123663101604279,0.08099173553719008
NINJA#LTR/Pao,NINJA,Pao,LTR,1,14,0.0007457121551081282,0.0017279684028634905,0.03566591422121896,0.3350209609803289
NOMAD#LTR/Gypsy,NOMAD,Gypsy,LTR,1,57,0.0007457121551081282,0.007035299925944211,0.11461619348054679,0.24747495710886047
QUASIMODO2#LTR/Gypsy,QUASIMODO2,Gypsy,LTR,2,6,0.0014914243102162564,0.0007405578869414959,0.0907481527093596,0.10616789819376027
QUASIMODO#LTR/Gypsy,QUASIMODO,Gypsy,LTR,4,147,0.002982848620432513,0.01814366823006665,0.09842733188720174,0.20986523676715801
ROOA#LTR/Pao,ROOA,Pao,LTR,28,11,0.020879940343027592,0.0013576894593927426,0.06507863609949951,0.24527919266142598
ROO#LTR/Pao,ROO,Pao,LTR,39,231,0.029082774049217,0.028511478647247592,0.044058553386911586,0.04556951681622449
ROVER#LTR/Gypsy,ROVER,Gypsy,LTR,2,10,0.0014914243102162564,0.0012342631449024932,0.07707023776988248,0.07541678054113146
Stalker2#LTR/Gypsy,Stalker2,Gypsy,LTR,27,7,0.020134228187919462,0.0008639842014317452,0.07965388969755782,0.037447147709156435
STALKER4#LTR/Gypsy,STALKER4,Gypsy,LTR,3,11,0.0022371364653243847,0.0013576894593927426,0.3392873375147714,0.06293229541116097
TIRANT#LTR/Gypsy,TIRANT,Gypsy,LTR,3,40,0.0022371364653243847,0.004937052579609973,0.32367659707561186,0.21933497536945823
TRANSPAC#LTR/Gypsy,TRANSPAC,Gypsy,LTR,2,125,0.0014914243102162564,0.015428289311281165,0.059238095238095236,0.1303329523809523
XDMR#Unknown/Unknown,XDMR,Unknown,Unknown,0,6,0.0,0.0007405578869414959,0.0,0.5706371191135734
ARS406_DM#Unknown/Unknown,ARS406_DM,Unknown,Unknown,0,1,0.0,0.00012342631449024932,0.0,0.35127478753541075
BARI1#DNA/TcMar-Tc1,BARI1,TcMar-Tc1,DNA,0,11,0.0,0.0013576894593927426,0.0,0.6420690026373864
BS3_DM#LINE/I-Jockey,BS3_DM,I-Jockey,LINE,0,29,0.0,0.00357936312021723,0.0,0.665998844153342
BS4_DM#LINE/I-Jockey,BS4_DM,I-Jockey,LINE,0,4,0.0,0.0004937052579609973,0.0,0.8842838196286473
DMLTR5#LTR/Gypsy,DMLTR5,Gypsy,LTR,0,10,0.0,0.0012342631449024932,0.0,0.806766917293233
DMRP1#Unknown/Unknown,DMRP1,Unknown,Unknown,0,3,0.0,0.00037027894347074796,0.0,0.7504816955684007
DMRPR#Unknown/Unknown,DMRPR,Unknown,Unknown,0,71,0.0,0.008763268328807701,0.0,0.9294292068198667
DOC4_DM#LINE/I-Jockey,DOC4_DM,I-Jockey,LINE,0,5,0.0,0.0006171315724512466,0.0,0.212396990326048
FW2_DM#LINE/I-Jockey,FW2_DM,I-Jockey,LINE,0,7,0.0,0.0008639842014317452,0.0,0.09146319471994806
FW3_DM#LINE/I-Jockey,FW3_DM,I-Jockey,LINE,0,51,0.0,0.006294742039002715,0.0,0.25748128114591934
G2_DM#LINE/I-Jockey,G2_DM,I-Jockey,LINE,0,5,0.0,0.0006171315724512466,0.0,0.10457769181173435
G4_DM#LINE/I-Jockey,G4_DM,I-Jockey,LINE,0,99,0.0,0.012219205134534682,0.0,0.18899838635315813
G6_DM#LINE/I-Jockey,G6_DM,I-Jockey,LINE,0,3,0.0,0.00037027894347074796,0.0,0.4822069866144303
G7_DM#LINE/I-Jockey,G7_DM,I-Jockey,LINE,0,1,0.0,0.00012342631449024932,0.0,0.24916107382550334
HETRP_DM#Satellite/Unknown,HETRP_DM,Unknown,Satellite,0,1,0.0,0.00012342631449024932,0.0,0.1229020032485111
Jockey2#LINE/I-Jockey,Jockey2,I-Jockey,LINE,0,172,0.0,0.02122932609232288,0.0,0.13371753819435028
NOF_FB#DNA/MULE-NOF,NOF_FB,MULE-NOF,DNA,0,7,0.0,0.0008639842014317452,0.0,0.18266418505716567
R1-2_DM#LINE/R1,R1-2_DM,R1,LINE,0,34,0.0,0.004196494692668477,0.0,0.4970826016973953
TRANSIB1#DNA/CMC-Transib,TRANSIB1,CMC-Transib,DNA,0,1,0.0,0.00012342631449024932,0.0,0.1121433311214333
Transib5#DNA/CMC-Transib,Transib5,CMC-Transib,DNA,0,21,0.0,0.0025919526042952356,0.0,0.14399961917456086
Transib-N1_DM#DNA/CMC-Transib,Transib-N1_DM,CMC-Transib,DNA,0,2,0.0,0.00024685262898049864,0.0,0.522373540856031
ZAM#LTR/Gypsy,ZAM,Gypsy,LTR,0,46,0.0,0.005677610466551469,0.0,0.09696260477776289
BATUMI#LTR/Pao,BATUMI,Pao,LTR,0,24,0.0,0.0029622315477659837,0.0,0.2475167509110144
BEL#LTR/Pao,BEL,Pao,LTR,0,32,0.0,0.003949642063687978,0.0,0.3069447845249755
DIVER#LTR/Pao,DIVER,Pao,LTR,0,3,0.0,0.00037027894347074796,0.0,0.23641438187489738
FROGGER#LTR/Copia,FROGGER,Copia,LTR,0,43,0.0,0.00530733152308072,0.0,0.6619149753205519
Gypsy4#LTR/Gypsy,Gypsy4,Gypsy,LTR,0,4,0.0,0.0004937052579609973,0.0,0.32687263188574756
Gypsy9#LTR/Gypsy,Gypsy9,Gypsy,LTR,0,37,0.0,0.004566773636139225,0.0,0.20006265379232285
Invader2#LTR/Gypsy,Invader2,Gypsy,LTR,0,7,0.0,0.0008639842014317452,0.0,0.20859819337571098
Invader3#LTR/Gypsy,Invader3,Gypsy,LTR,0,3,0.0,0.00037027894347074796,0.0,0.1976659372720642
MDG3#LTR/Gypsy,MDG3,Gypsy,LTR,0,6,0.0,0.0007405578869414959,0.0,0.21814613526570048
MICROPIA#LTR/Gypsy,MICROPIA,Gypsy,LTR,0,5,0.0,0.0006171315724512466,0.0,0.07483419307295505
TABOR#LTR/Gypsy,TABOR,Gypsy,LTR,0,11,0.0,0.0013576894593927426,0.0,0.16309942099272529
